,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#394,5,10,10,0,0,0,0,30,10,0,5,-1.5,150
Exp#395,0,0,10,10,0,0,0,5,0,40,5,-1.2,150
Exp#396,0,0,0,0,20,5,5,30,0,5,5,-1.2,90
Exp#397,0,0,0,0,15,5,5,10,0,15,20,-1.3,120
Exp#398,5,0,0,0,5,15,0,10,30,0,5,-1.4,150
Exp#399,5,20,0,0,5,0,5,10,0,20,5,-1.3,60
Exp#400,0,15,10,10,5,10,0,10,5,5,0,-1.3,120
Exp#401,0,10,5,0,5,10,5,10,20,0,5,-1.5,90
Exp#402,10,0,10,5,0,0,15,0,0,20,10,-1.5,120
Exp#403,0,15,0,5,0,5,5,15,5,20,0,-1.5,90
Exp#404,5,0,5,10,0,5,5,15,10,15,0,-1.2,120
Exp#405,0,5,0,5,5,0,10,15,10,0,20,-1.3,90
Exp#406,20,0,0,0,15,0,5,20,0,10,0,-1.3,60
Exp#407,20,0,10,0,10,0,0,10,15,5,0,-1.2,60
Exp#408,5,0,0,15,15,0,10,0,20,5,0,-1.4,120
Exp#409,5,5,0,0,5,5,0,0,15,25,10,-1.3,60
Exp#410,10,0,10,15,0,0,10,0,0,20,5,-1.2,90
Exp#411,0,15,0,15,10,0,5,5,15,0,5,-1.4,120
Exp#412,0,0,0,20,5,5,0,10,0,30,0,-1.4,150
Exp#413,0,0,15,5,0,0,5,5,20,5,15,-1.2,120
Exp#414,15,5,5,0,15,0,0,5,10,5,10,-1.5,150
Exp#415,15,0,0,0,0,10,25,15,0,5,0,-1.4,90
Exp#416,15,5,5,10,5,5,0,5,5,15,0,-1.1,90
Exp#417,0,5,0,5,0,10,0,10,15,5,20,-1.1,60
Exp#418,0,10,0,5,15,10,5,5,15,5,0,-1.1,90
Exp#419,5,5,0,5,10,0,10,15,0,5,15,-1.1,60
Exp#420,0,10,0,0,10,5,5,25,0,5,10,-1.4,120
Exp#421,5,0,5,0,5,15,5,5,20,0,10,-1.1,60
Exp#422,0,10,0,5,5,20,5,0,15,5,5,-1.1,60
Exp#423,15,15,0,0,0,0,0,0,35,0,5,-1.2,150
Exp#424,0,0,10,15,0,0,0,0,25,15,5,-1.2,60
Exp#425,15,15,5,0,5,0,0,10,5,5,10,-1.2,90
Exp#426,0,0,5,20,0,5,0,0,15,15,10,-1.2,120
Exp#427,0,5,0,20,0,10,10,0,10,15,0,-1.2,120
Exp#428,25,5,5,0,0,5,0,5,20,0,5,-1.5,60
Exp#429,0,5,10,5,5,0,0,5,10,20,10,-1.3,60
Exp#430,0,5,0,5,0,10,20,20,0,0,10,-1.3,120
Exp#431,5,5,5,0,5,5,20,5,10,5,5,-1.4,150
Exp#432,0,0,5,15,10,0,0,25,0,15,0,-1.2,150
Exp#433,5,0,10,10,5,0,0,20,20,0,0,-1.1,120
Exp#434,5,5,0,15,5,5,15,10,10,0,0,-1.4,90
Exp#435,0,0,5,0,0,5,15,15,5,10,15,-1.2,90
Exp#436,10,0,5,0,0,15,10,0,5,20,5,-1.1,150
Exp#437,5,5,0,20,5,0,5,15,0,5,10,-1.4,60
Exp#438,5,0,5,10,10,0,0,5,20,0,15,-1.1,150
Exp#439,5,30,0,0,0,0,5,10,10,10,0,-1.5,90
Exp#440,20,5,5,0,0,10,0,20,0,0,10,-1.5,150
Exp#441,0,0,5,5,5,25,5,0,20,0,5,-1.2,120
Exp#442,0,5,15,5,5,0,10,20,0,5,5,-1.3,90
Exp#443,10,0,0,10,0,5,15,20,5,0,5,-1.5,150
Exp#444,0,10,0,0,15,15,10,10,10,0,0,-1.2,150
Exp#445,20,0,10,15,5,0,0,5,5,10,0,-1.1,120
Exp#446,5,0,20,0,0,0,5,5,30,5,0,-1.3,60
Exp#447,0,10,0,0,0,0,15,30,5,10,0,-1.4,150
Exp#448,0,20,10,5,5,0,0,5,10,5,10,-1.1,120
Exp#449,5,10,0,0,15,0,0,15,15,10,0,-1.1,150
Exp#450,0,5,5,0,10,15,5,15,5,0,10,-1.5,90
Exp#451,0,0,5,0,0,0,25,5,20,15,0,-1.1,90
Exp#452,15,15,0,5,5,0,5,5,15,5,0,-1.2,120
Exp#453,5,10,10,5,0,0,0,20,5,15,0,-1.3,60
Exp#454,0,0,10,10,10,0,0,20,0,10,10,-1.3,90
Exp#455,5,10,0,5,0,20,5,20,0,5,0,-1.1,90
Exp#456,5,5,0,15,15,0,0,0,30,0,0,-1.5,90
Exp#457,5,10,0,5,5,0,0,0,35,5,5,-1.2,120
Exp#458,5,5,10,15,0,0,0,15,5,10,5,-1.4,60
Exp#459,0,10,10,0,5,15,0,5,5,20,0,-1.3,150
Exp#460,0,20,5,10,5,0,5,0,0,25,0,-1.2,120
Exp#461,10,35,0,5,0,0,0,5,10,5,0,-1.5,90
Exp#462,0,0,0,5,10,15,5,5,15,10,5,-1.5,60
Exp#463,10,5,5,0,5,5,10,0,5,25,0,-1.5,60
Exp#464,10,15,0,5,0,5,0,0,5,20,10,-1.5,150
Exp#465,0,5,0,0,15,15,0,0,0,25,10,-1.5,120
Exp#466,5,5,0,5,20,0,5,10,0,15,5,-1.4,60
Exp#467,0,0,0,20,0,0,15,20,0,0,15,-1.5,60
Exp#468,5,10,15,5,0,5,0,5,15,10,0,-1.4,90
Exp#469,0,20,0,0,15,10,5,0,20,0,0,-1.3,150
Exp#470,25,0,5,0,5,0,5,10,10,5,5,-1.2,60
Exp#471,15,0,0,5,5,5,10,5,15,5,5,-1.4,60
Exp#472,10,5,0,5,0,0,5,15,30,0,0,-1.4,90
Exp#473,5,15,0,0,5,10,5,0,0,20,10,-1.3,150
Exp#474,0,0,5,0,20,5,15,15,5,0,5,-1.3,90
Exp#475,5,0,5,0,5,10,20,10,5,10,0,-1.5,150
Exp#476,10,10,5,0,0,0,0,15,10,15,5,-1.3,120
Exp#477,5,5,0,5,5,5,0,25,15,0,5,-1.2,120
Exp#478,5,5,25,5,0,0,0,5,10,15,0,-1.4,60
Exp#479,0,5,5,5,5,5,15,5,5,10,10,-1.5,120
Exp#480,5,0,5,0,0,0,20,15,0,20,5,-1.2,90
Exp#481,5,15,0,10,0,0,5,5,20,0,10,-1.1,60
Exp#482,0,5,0,10,20,0,0,25,0,0,10,-1.4,120
Exp#483,5,0,5,0,5,5,10,10,25,5,0,-1.5,90
Exp#484,20,15,0,0,0,0,5,5,15,5,5,-1.1,90
Exp#485,10,5,0,10,0,0,15,0,25,0,5,-1.3,90
Exp#486,0,5,10,0,20,0,10,5,0,15,5,-1.4,90
Exp#487,25,0,15,0,5,0,0,5,15,0,5,-1.1,120
Exp#488,0,20,0,5,5,0,10,5,10,15,0,-1.5,90
Exp#489,0,0,0,20,10,5,5,0,10,20,0,-1.3,60
Exp#490,0,10,5,15,5,0,0,25,5,0,5,-1.3,120
Exp#491,10,15,5,0,5,0,0,20,0,5,10,-1.2,90
Exp#492,25,0,0,10,0,0,10,15,5,5,0,-1.5,150
Exp#493,0,5,0,10,0,5,10,5,20,10,5,-1.4,120
Exp#494,0,5,0,20,5,0,0,30,5,5,0,-1.4,60
Exp#495,20,0,10,10,5,0,0,15,10,0,0,-1.2,90
Exp#496,0,0,5,0,5,10,0,10,15,15,10,-1.1,150
Exp#497,0,0,5,5,25,0,5,10,0,10,10,-1.1,60
Exp#498,0,10,0,0,5,30,0,5,10,10,0,-1.5,120
Exp#499,0,10,10,20,5,0,0,15,5,5,0,-1.2,150
Exp#500,0,5,0,25,10,0,10,0,10,10,0,-1.4,60
Exp#501,8,0,8,0,8,8,0,0,0,7,31,-1.5,90
Exp#502,8,0,0,0,8,0,0,15,0,15,24,-1.4,90
Exp#503,8,0,8,8,0,0,8,15,15,0,8,-1.5,180
Exp#504,8,0,8,0,0,0,8,0,0,15,31,-1.4,60
Exp#505,0,0,8,8,8,0,0,15,0,0,31,-1.5,150
Exp#506,0,0,8,8,0,8,8,0,15,0,23,-1.5,60
Exp#507,8,0,0,0,8,8,0,7,7,7,25,-1.1,150
Exp#508,8,0,0,0,0,8,0,15,0,0,39,-1.5,60
Exp#509,8,0,0,0,0,8,8,0,15,0,31,-1.4,180
Exp#510,8,0,8,0,0,8,0,0,15,15,16,-1.1,180
Exp#511,8,0,0,0,0,0,0,0,15,0,47,-1.2,90
Exp#512,0,0,0,0,0,8,8,0,0,15,39,-1.1,90
Exp#513,0,0,8,0,8,8,8,7,7,7,17,-1.5,180
Exp#514,0,8,0,0,8,8,8,0,0,7,31,-1.4,150
Exp#515,0,0,0,0,8,8,0,0,15,15,24,-1.4,60
Exp#516,8,0,0,8,8,8,0,15,15,0,8,-1.5,180
Exp#517,0,0,8,0,0,0,0,15,15,15,17,-1.5,90
Exp#518,0,0,8,0,8,0,0,0,0,15,39,-1.2,150
Exp#519,8,0,8,0,0,0,0,15,0,0,39,-1.2,180
Exp#520,8,0,8,8,0,8,0,15,15,0,8,-1.1,90
Exp#521,0,8,0,0,0,0,0,0,0,15,47,-1.5,180
Exp#522,0,0,0,8,0,8,8,15,0,0,31,-1.1,180
Exp#523,8,0,0,0,0,0,8,15,15,15,9,-1.1,60
Exp#524,8,0,0,0,8,0,8,0,15,15,16,-1.5,150
Exp#525,0,0,0,8,8,8,0,15,0,0,31,-1.2,90
Exp#526,8,0,0,8,8,8,8,0,15,0,15,-1.1,60
Exp#527,0,0,8,0,0,0,8,0,15,0,39,-1.1,150
Exp#528,0,0,0,8,0,8,0,0,15,0,39,-1.5,150
Exp#529,8,0,0,8,8,0,0,7,7,0,32,-1.4,180
Exp#530,8,0,0,8,0,0,0,15,0,0,39,-1.1,150
Exp#531,0,0,0,8,8,0,8,15,0,0,31,-1.5,60
Exp#532,8,0,8,0,8,8,8,0,15,15,0,-1.2,90
Exp#533,8,0,8,0,0,8,8,15,0,15,8,-1.5,150
Exp#534,0,0,0,0,0,8,0,15,15,15,17,-1.2,150
Exp#535,0,0,0,0,0,0,8,15,0,0,47,-1.4,150
Exp#536,8,0,0,8,8,0,8,15,15,0,8,-1.2,150
Exp#537,0,0,0,0,8,0,8,7,7,7,33,-1.2,60
Exp#538,0,0,0,0,8,8,8,15,15,0,16,-1.5,90
Exp#539,0,0,0,8,8,0,0,0,15,0,39,-1.1,90
Exp#540,0,0,8,0,8,0,8,15,15,15,1,-1.4,180
Exp#541,8,0,8,0,8,8,0,15,15,0,8,-1.4,150
Exp#542,8,0,8,0,8,0,0,0,15,0,31,-1.5,60
Exp#543,0,0,8,0,0,8,0,7,7,7,33,-1.4,90
Exp#544,0,0,8,0,8,8,0,15,0,15,16,-1.1,60
Exp#545,8,0,0,8,0,0,8,7,7,0,32,-1.5,90
Exp#546,0,0,0,0,8,0,0,15,15,0,32,-1.1,180
Exp#547,0,0,0,8,0,0,0,15,15,0,32,-1.4,60
Exp#548,8,0,8,0,8,0,8,15,0,0,23,-1.1,90
Exp#549,0,0,8,8,8,0,8,0,15,0,23,-1.4,90
Exp#550,8,8,0,0,0,8,0,0,0,7,39,-1.2,60
Exp#551,0,0,8,8,0,8,0,15,0,0,31,-1.4,180
Exp#552,8,0,8,8,0,8,8,7,7,0,16,-1.2,150
Exp#553,0,0,8,0,0,8,8,15,15,0,16,-1.2,60
Exp#554,8,0,8,8,8,0,0,15,15,0,8,-1.2,60
Exp#555,0,0,8,8,8,8,0,0,15,0,23,-1.2,180
Exp#556,0,0,0,8,0,0,8,0,15,0,39,-1.2,180
Exp#557,0,0,8,8,0,0,8,15,0,0,31,-1.2,90
Exp#558,8,0,0,8,0,8,8,15,15,0,8,-1.4,90
Exp#559,8,8,8,0,8,0,8,0,0,7,23,-1.1,180
Exp#560,8,0,8,8,0,0,0,0,15,0,31,-1.4,150
Exp#561,0,0,8,8,0,0,0,7,7,0,40,-1.1,60
Exp#562,0,0,8,8,8,8,8,15,15,0,0,-1.1,150
Exp#563,8,0,8,8,8,8,8,15,0,0,7,-1.4,60
Exp#564,8,0,0,0,8,8,8,15,0,15,8,-1.2,180
Exp#565,4,0,4,0,4,4,4,7,7,7,29,-1.3,120
Exp#566,4,4,4,0,4,4,4,0,0,7,39,-1.3,120
Exp#567,4,0,4,4,4,4,4,7,7,0,32,-1.3,120
