,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#303,0,5,0,0,5,15,20,20,0,0,5,-1.1,90
Exp#304,0,5,0,20,5,20,0,0,15,5,0,-1.3,60
Exp#305,5,0,20,0,15,0,10,15,0,5,0,-1.2,120
Exp#306,5,10,15,5,0,5,5,5,15,0,5,-1.3,150
Exp#307,5,10,5,5,15,10,0,0,20,0,0,-1.5,90
Exp#308,0,0,5,0,0,10,25,0,5,15,10,-1.3,150
Exp#309,0,0,0,10,10,10,5,10,5,15,5,-1.2,90
Exp#310,0,0,0,15,5,15,0,0,10,15,10,-1.1,120
Exp#311,0,0,0,25,5,0,5,5,0,25,5,-1.2,60
Exp#312,0,5,15,20,5,5,0,0,10,10,0,-1.1,90
Exp#313,5,5,10,0,10,0,5,25,10,0,0,-1.4,90
Exp#314,5,25,0,0,0,5,0,25,0,10,0,-1.4,90
Exp#315,0,35,0,0,0,0,0,15,5,15,0,-1.3,60
Exp#316,5,20,0,10,5,10,0,20,0,0,0,-1.5,90
Exp#317,0,5,0,10,5,10,10,0,5,25,0,-1.5,60
Exp#318,0,15,15,0,0,0,10,0,10,10,10,-1.4,120
Exp#319,5,0,5,5,0,10,0,5,25,15,0,-1.5,60
Exp#320,0,5,15,0,20,0,5,5,10,5,5,-1.3,120
Exp#321,10,0,15,10,0,10,0,10,15,0,0,-1.3,120
Exp#322,0,10,5,5,0,5,20,10,0,15,0,-1.5,150
Exp#323,10,5,0,20,5,5,0,5,5,15,0,-1.4,150
Exp#324,0,15,20,0,10,0,5,10,5,5,0,-1.5,90
Exp#325,0,0,10,0,0,0,20,40,0,0,0,-1.4,90
Exp#326,10,5,15,5,0,0,15,10,5,5,0,-1.4,60
Exp#327,0,0,0,15,10,10,0,20,5,5,5,-1.2,60
Exp#328,0,5,5,5,5,10,0,25,0,15,0,-1.2,120
Exp#329,0,0,5,10,0,10,15,20,5,0,5,-1.5,60
Exp#330,5,15,25,0,5,0,0,0,10,10,0,-1.5,120
Exp#331,15,20,0,10,0,0,5,15,5,0,0,-1.1,150
Exp#332,0,5,0,5,0,25,5,10,0,15,5,-1.4,120
Exp#333,0,20,5,0,0,5,5,10,15,5,5,-1.1,150
Exp#334,0,0,30,10,0,0,0,5,5,15,5,-1.4,120
Exp#335,0,0,10,0,0,30,10,5,5,10,0,-1.5,150
Exp#336,10,0,0,5,0,5,0,0,0,35,15,-1.4,150
Exp#337,15,10,0,0,5,0,15,0,0,20,5,-1.5,60
Exp#338,20,15,5,0,0,0,5,5,15,0,5,-1.2,150
Exp#339,5,0,0,10,5,0,10,10,0,20,10,-1.1,150
Exp#340,5,10,5,0,5,5,5,25,0,10,0,-1.4,90
Exp#341,5,15,10,10,0,5,0,15,5,5,0,-1.3,120
Exp#342,0,10,0,0,0,5,10,20,5,0,20,-1.4,60
Exp#343,0,5,15,5,0,10,10,20,0,0,5,-1.1,150
Exp#344,5,20,0,0,0,0,10,5,15,5,10,-1.4,120
Exp#345,5,20,10,0,0,10,0,10,0,10,5,-1.3,150
Exp#346,25,0,5,10,0,5,0,0,0,25,0,-1.5,60
Exp#347,0,20,10,0,0,5,0,0,0,20,15,-1.3,60
Exp#348,10,0,0,5,5,15,0,5,25,5,0,-1.1,60
Exp#349,0,0,0,0,20,5,15,15,10,0,5,-1.5,120
Exp#350,0,0,0,5,15,0,25,10,15,0,0,-1.1,60
Exp#351,5,5,5,0,5,0,5,0,40,0,5,-1.1,150
Exp#352,5,10,0,10,0,15,0,0,0,25,5,-1.1,90
Exp#353,20,5,5,0,0,0,10,10,0,20,0,-1.1,120
Exp#354,5,5,5,0,5,10,15,10,5,5,5,-1.4,60
Exp#355,0,10,0,10,5,0,5,15,5,10,10,-1.2,90
Exp#356,10,5,0,10,20,0,0,0,5,20,0,-1.1,120
Exp#357,0,5,5,5,5,10,5,10,5,15,5,-1.1,90
Exp#358,10,5,0,0,15,5,10,0,10,10,5,-1.3,120
Exp#359,20,5,10,5,5,0,0,20,0,0,5,-1.5,150
Exp#360,0,15,10,0,0,0,0,5,30,0,10,-1.5,60
Exp#361,5,20,15,0,0,0,5,10,0,15,0,-1.2,60
Exp#362,0,0,25,0,5,5,5,10,5,10,5,-1.1,150
