Sept. 16, 2024   05:00:47
Amperometric i-t Curve
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp367\exp367deposition-2024-09-16t04_56_54-deposition\exp367deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.9

Results:

Channel 1:

Time/sec, Current/A

2.510e+1, 2.951e-3
2.520e+1, 2.959e-3
2.530e+1, 2.959e-3
2.540e+1, 2.958e-3
2.550e+1, 2.955e-3
2.560e+1, 2.954e-3
2.570e+1, 2.953e-3
2.580e+1, 2.951e-3
2.590e+1, 2.957e-3
2.600e+1, 2.964e-3
2.610e+1, 2.959e-3
2.620e+1, 2.957e-3
2.630e+1, 2.958e-3
2.640e+1, 2.960e-3
2.650e+1, 2.962e-3
2.660e+1, 2.960e-3
2.670e+1, 2.958e-3
2.680e+1, 2.958e-3
2.690e+1, 2.958e-3
2.700e+1, 2.956e-3
2.710e+1, 2.957e-3
2.720e+1, 2.962e-3
2.730e+1, 2.960e-3
2.740e+1, 2.959e-3
2.750e+1, 2.969e-3
2.760e+1, 2.971e-3
2.770e+1, 2.974e-3
2.780e+1, 2.986e-3
2.790e+1, 2.983e-3
2.800e+1, 2.997e-3
2.810e+1, 3.002e-3
2.820e+1, 2.999e-3
2.830e+1, 2.998e-3
2.840e+1, 2.989e-3
2.850e+1, 2.979e-3
2.860e+1, 2.975e-3
2.870e+1, 3.018e-3
2.880e+1, 3.039e-3
2.890e+1, 3.092e-3
2.900e+1, 3.086e-3
2.910e+1, 3.075e-3
2.920e+1, 3.067e-3
2.930e+1, 3.060e-3
2.940e+1, 3.051e-3
2.950e+1, 3.043e-3
2.960e+1, 3.036e-3
2.970e+1, 3.033e-3
2.980e+1, 3.077e-3
2.990e+1, 3.118e-3
3.000e+1, 3.136e-3
3.010e+1, 3.134e-3
3.020e+1, 3.125e-3
3.030e+1, 3.130e-3
3.040e+1, 3.133e-3
3.050e+1, 3.120e-3
3.060e+1, 3.106e-3
3.070e+1, 3.097e-3
3.080e+1, 3.087e-3
3.090e+1, 3.075e-3
3.100e+1, 3.068e-3
3.110e+1, 3.059e-3
3.120e+1, 3.051e-3
3.130e+1, 3.045e-3
3.140e+1, 3.039e-3
3.150e+1, 3.030e-3
3.160e+1, 3.022e-3
3.170e+1, 3.015e-3
3.180e+1, 3.011e-3
3.190e+1, 3.007e-3
3.200e+1, 3.004e-3
3.210e+1, 2.998e-3
3.220e+1, 2.994e-3
3.230e+1, 2.991e-3
3.240e+1, 2.996e-3
3.250e+1, 3.001e-3
3.260e+1, 3.000e-3
3.270e+1, 2.994e-3
3.280e+1, 2.987e-3
3.290e+1, 2.983e-3
3.300e+1, 2.981e-3
3.310e+1, 2.980e-3
3.320e+1, 2.979e-3
3.330e+1, 2.977e-3
3.340e+1, 2.974e-3
3.350e+1, 2.974e-3
3.360e+1, 2.973e-3
3.370e+1, 2.970e-3
3.380e+1, 2.976e-3
3.390e+1, 2.981e-3
3.400e+1, 2.984e-3
3.410e+1, 2.981e-3
3.420e+1, 2.977e-3
3.430e+1, 2.974e-3
3.440e+1, 2.971e-3
3.450e+1, 2.966e-3
3.460e+1, 2.963e-3
3.470e+1, 2.961e-3
3.480e+1, 2.958e-3
3.490e+1, 2.956e-3
3.500e+1, 2.956e-3
3.510e+1, 2.956e-3
3.520e+1, 2.956e-3
3.530e+1, 2.956e-3
3.540e+1, 2.957e-3
3.550e+1, 2.958e-3
3.560e+1, 2.959e-3
3.570e+1, 2.958e-3
3.580e+1, 2.958e-3
3.590e+1, 2.958e-3
3.600e+1, 2.972e-3
3.610e+1, 2.979e-3
3.620e+1, 2.988e-3
3.630e+1, 2.988e-3
3.640e+1, 2.992e-3
3.650e+1, 2.996e-3
3.660e+1, 2.998e-3
3.670e+1, 3.000e-3
3.680e+1, 3.002e-3
3.690e+1, 3.000e-3
3.700e+1, 3.005e-3
3.710e+1, 3.021e-3
3.720e+1, 3.021e-3
3.730e+1, 3.023e-3
3.740e+1, 3.029e-3
3.750e+1, 3.027e-3
3.760e+1, 3.028e-3
3.770e+1, 3.030e-3
3.780e+1, 3.028e-3
3.790e+1, 3.029e-3
3.800e+1, 3.030e-3
3.810e+1, 3.027e-3
3.820e+1, 3.027e-3
3.830e+1, 3.028e-3
3.840e+1, 3.028e-3
3.850e+1, 3.030e-3
3.860e+1, 3.029e-3
3.870e+1, 3.028e-3
3.880e+1, 3.028e-3
3.890e+1, 3.028e-3
3.900e+1, 3.030e-3
3.910e+1, 3.047e-3
3.920e+1, 3.047e-3
3.930e+1, 3.047e-3
3.940e+1, 3.048e-3
3.950e+1, 3.048e-3
3.960e+1, 3.049e-3
3.970e+1, 3.048e-3
3.980e+1, 3.047e-3
3.990e+1, 3.046e-3
4.000e+1, 3.046e-3
4.010e+1, 3.046e-3
4.020e+1, 3.046e-3
4.030e+1, 3.055e-3
4.040e+1, 3.057e-3
