Oct. 19, 2024   23:00:18
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround2/2024-10-18-exp579\exp579deposition-2024-10-19t22_56_30-deposition\exp579deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.1

Results:

Channel 1:

Time/sec, Current/A

2.550e+1, 3.324e-3
2.560e+1, 3.329e-3
2.570e+1, 3.388e-3
2.580e+1, 3.347e-3
2.590e+1, 3.318e-3
2.600e+1, 3.330e-3
2.610e+1, 3.354e-3
2.620e+1, 3.410e-3
2.630e+1, 3.447e-3
2.640e+1, 3.459e-3
2.650e+1, 3.442e-3
2.660e+1, 3.468e-3
2.670e+1, 3.480e-3
2.680e+1, 3.474e-3
2.690e+1, 3.424e-3
2.700e+1, 3.382e-3
2.710e+1, 3.359e-3
2.720e+1, 3.337e-3
2.730e+1, 3.330e-3
2.740e+1, 3.347e-3
2.750e+1, 3.373e-3
2.760e+1, 3.403e-3
2.770e+1, 3.413e-3
2.780e+1, 3.411e-3
2.790e+1, 3.394e-3
2.800e+1, 3.358e-3
2.810e+1, 3.436e-3
2.820e+1, 3.430e-3
2.830e+1, 3.432e-3
2.840e+1, 3.453e-3
2.850e+1, 3.558e-3
2.860e+1, 3.502e-3
2.870e+1, 3.432e-3
2.880e+1, 3.433e-3
2.890e+1, 3.465e-3
2.900e+1, 3.441e-3
2.910e+1, 3.420e-3
2.920e+1, 3.442e-3
2.930e+1, 3.403e-3
2.940e+1, 3.320e-3
2.950e+1, 3.280e-3
2.960e+1, 3.281e-3
2.970e+1, 3.332e-3
2.980e+1, 3.429e-3
2.990e+1, 3.586e-3
3.000e+1, 3.659e-3
3.010e+1, 3.707e-3
3.020e+1, 3.609e-3
3.030e+1, 3.512e-3
3.040e+1, 3.450e-3
3.050e+1, 3.435e-3
3.060e+1, 3.467e-3
3.070e+1, 3.464e-3
3.080e+1, 3.474e-3
3.090e+1, 3.545e-3
3.100e+1, 3.628e-3
3.110e+1, 3.665e-3
3.120e+1, 3.627e-3
3.130e+1, 3.630e-3
3.140e+1, 3.649e-3
3.150e+1, 3.605e-3
3.160e+1, 3.535e-3
