May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

2.480e+1, 5.070e-3
2.490e+1, 5.074e-3
2.500e+1, 5.088e-3
2.510e+1, 5.128e-3
2.520e+1, 5.178e-3
2.530e+1, 5.197e-3
2.540e+1, 5.214e-3
2.550e+1, 5.216e-3
2.560e+1, 5.224e-3
2.570e+1, 5.235e-3
2.580e+1, 5.236e-3
2.590e+1, 5.243e-3
2.600e+1, 5.253e-3
2.610e+1, 5.260e-3
2.620e+1, 5.273e-3
2.630e+1, 5.289e-3
2.640e+1, 5.327e-3
2.650e+1, 5.344e-3
2.660e+1, 5.352e-3
2.670e+1, 5.372e-3
2.680e+1, 5.389e-3
2.690e+1, 5.437e-3
2.700e+1, 5.472e-3
2.710e+1, 5.476e-3
2.720e+1, 5.454e-3
2.730e+1, 5.438e-3
2.740e+1, 5.413e-3
2.750e+1, 5.393e-3
2.760e+1, 5.422e-3
2.770e+1, 5.423e-3
2.780e+1, 5.507e-3
2.790e+1, 5.570e-3
2.800e+1, 5.632e-3
2.810e+1, 5.634e-3
2.820e+1, 5.593e-3
2.830e+1, 5.530e-3
2.840e+1, 5.500e-3
2.850e+1, 5.476e-3
2.860e+1, 5.466e-3
2.870e+1, 5.457e-3
2.880e+1, 5.490e-3
2.890e+1, 5.511e-3
2.900e+1, 5.525e-3
2.910e+1, 5.546e-3
2.920e+1, 5.589e-3
2.930e+1, 5.675e-3
2.940e+1, 5.701e-3
2.950e+1, 5.698e-3
2.960e+1, 5.692e-3
2.970e+1, 5.683e-3
