June 26, 2026   07:32:22
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp13\exp13deposition-2026-06-26t07_28_36-deposition\exp13deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.6

Results:

Channel 1:

Time/sec, Current/A

3.640e+1, 2.260e-3
3.650e+1, 2.274e-3
3.660e+1, 2.268e-3
3.670e+1, 2.251e-3
3.680e+1, 2.222e-3
3.690e+1, 2.199e-3
3.700e+1, 2.198e-3
3.710e+1, 2.177e-3
3.720e+1, 2.224e-3
3.730e+1, 2.238e-3
3.740e+1, 2.243e-3
3.750e+1, 2.226e-3
3.760e+1, 2.196e-3
3.770e+1, 2.167e-3
3.780e+1, 2.123e-3
3.790e+1, 2.083e-3
3.800e+1, 2.051e-3
3.810e+1, 2.060e-3
3.820e+1, 2.084e-3
3.830e+1, 2.080e-3
3.840e+1, 2.105e-3
3.850e+1, 2.118e-3
3.860e+1, 2.128e-3
3.870e+1, 2.145e-3
3.880e+1, 2.134e-3
3.890e+1, 2.107e-3
3.900e+1, 2.079e-3
3.910e+1, 2.086e-3
3.920e+1, 2.079e-3
3.930e+1, 2.078e-3
3.940e+1, 2.091e-3
3.950e+1, 2.113e-3
3.960e+1, 2.125e-3
3.970e+1, 2.159e-3
3.980e+1, 2.182e-3
3.990e+1, 2.169e-3
4.000e+1, 2.154e-3
4.010e+1, 2.127e-3
4.020e+1, 2.117e-3
4.030e+1, 2.105e-3
4.040e+1, 2.095e-3
4.050e+1, 2.151e-3
4.060e+1, 2.178e-3
4.070e+1, 2.165e-3
4.080e+1, 2.157e-3
4.090e+1, 2.149e-3
4.100e+1, 2.149e-3
4.110e+1, 2.185e-3
4.120e+1, 2.226e-3
4.130e+1, 2.270e-3
4.140e+1, 2.319e-3
