Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp918,918,0,0,0,0,39,11,0,0,0,10,-1.3,30,-0.3157,-0.2367
exp919,919,5,0,0,1,46,0,5,0,0,13,-1.0,180,-0.7327,-0.2367
exp920,920,4,0,0,1,42,0,0,0,0,23,-1.5,180,-0.3457,-0.2367
exp921,921,0,0,0,1,46,0,0,5,5,13,-1.5,180,-0.3017,-0.2367
exp922,922,0,0,0,1,52,0,4,0,0,13,-1.0,30,-0.4377,-0.2367
exp923,923,0,0,0,5,42,5,5,0,0,13,-1.5,30,-0.2927,-0.2367
exp924,924,0,0,0,5,52,0,0,0,0,13,-1.0,180,-0.2957,-0.2367
exp925,925,0,4,0,1,42,5,0,5,0,13,-1.4,30,-0.3247,-0.2367
exp926,926,5,0,0,5,42,0,0,5,0,13,-1.5,30,-0.3787,-0.2367
exp927,927,0,0,0,1,42,5,0,0,0,22,-1.5,30,-0.3017,-0.2367
exp928,928,0,0,0,1,52,4,0,0,0,13,-1.0,180,-0.3127,-0.2367
exp929,929,5,5,0,1,42,0,4,0,0,13,-1.5,180,-0.3547,-0.2367
exp930,930,0,0,5,1,51,0,0,0,0,13,-1.0,180,-0.3317,-0.2367
exp931,931,0,0,0,1,52,4,0,0,0,13,-1.5,180,-0.2707,-0.2367
exp932,932,4,0,0,1,52,0,0,0,0,13,-1.5,30,-0.4067,-0.2367
exp933,933,0,0,0,11,42,0,4,0,0,13,-1.0,91,-0.2967,-0.2367
exp934,934,0,0,0,7,42,0,5,3,0,13,-1.0,30,-0.5827,-0.2367
exp935,935,0,0,0,11,42,2,0,0,2,13,-1.0,180,-0.5097,-0.2367
exp936,936,4,0,0,1,52,0,0,0,0,13,-1.5,30,-0.4087,-0.2367
exp937,937,0,0,0,11,42,0,4,0,0,13,-1.0,151,-0.2867,-0.2367
exp938,938,0,0,0,1,52,0,4,0,0,13,-1.0,180,-0.3367,-0.2367
exp939,939,3,0,0,2,42,5,0,0,5,13,-1.0,30,-0.7637,-0.2367
exp940,940,0,0,0,1,52,4,0,0,0,13,-1.5,180,-0.3707,-0.2367
exp941,941,0,0,0,11,42,0,0,0,4,13,-1.5,180,-0.4717,-0.2367
exp942,942,0,0,4,1,42,5,0,5,0,13,-1.0,30,-0.6167,-0.2367
exp943,943,0,5,0,1,46,0,0,0,5,13,-1.0,180,-0.8657,-0.2367
exp944,944,0,0,0,11,46,0,0,0,0,13,-1.0,74,-0.3157,-0.2367
exp945,945,0,0,0,11,46,0,0,0,0,13,-1.0,74,-0.3157,-0.2367
exp946,946,0,0,0,1,52,3,0,0,0,14,-1.5,30,-0.4087,-0.2367
exp947,947,0,5,0,1,51,0,0,0,0,13,-1.0,79,-0.7497,-0.2367
exp948,948,4,5,0,1,42,5,0,0,0,13,-1.5,30,-0.3287,-0.2367
exp949,949,0,5,5,1,42,0,0,0,4,13,-1.0,30,-0.7887,-0.2367
exp950,950,0,0,5,1,42,0,0,0,0,22,-1.5,30,-0.3717,-0.2367
exp951,951,0,0,0,11,42,4,0,0,0,13,-1.5,180,-0.5247,-0.2367
exp952,952,4,5,0,1,42,0,0,0,5,13,-1.0,30,-0.8337,-0.2367
exp953,953,0,0,0,5,52,0,0,0,0,13,-1.5,30,-0.3377,-0.2367
exp954,954,5,0,0,1,42,5,0,0,0,17,-1.3,180,-0.2747,-0.2367
exp955,955,0,0,0,1,51,0,5,0,0,13,-1.0,141,-0.3517,-0.2367
exp956,956,0,0,4,1,52,0,0,0,0,13,-1.0,30,-0.4157,-0.2367
exp957,957,0,0,4,1,42,5,0,5,0,13,-1.0,180,-0.4347,-0.2367
exp958,958,0,0,0,1,42,0,0,1,3,23,-1.0,30,-0.6427,-0.2367
exp959,959,5,0,0,10,42,0,0,0,0,13,-1.5,30,-0.3377,-0.2367
exp960,960,0,0,0,1,52,0,0,0,0,17,-1.0,30,-0.4147,-0.2367
exp961,961,0,0,0,1,51,0,0,0,5,13,-1.5,30,-0.5517,-0.2367
exp962,962,0,0,0,1,52,0,0,4,0,13,-1.5,180,-0.4197,-0.2367
exp963,963,0,5,0,1,46,0,0,5,0,13,-1.4,180,-0.4507,-0.2367
exp964,964,0,0,0,1,42,0,5,0,5,17,-1.0,180,-0.4347,-0.2367
exp965,965,0,0,0,1,42,0,5,5,4,13,-1.5,30,-0.7577,-0.2367
exp966,966,0,4,0,1,52,0,0,0,0,13,-1.0,30,-0.4087,-0.2367
exp967,967,0,0,0,1,52,0,0,0,0,17,-1.0,30,-0.3867,-0.2367
exp968,968,0,0,0,1,51,0,0,5,0,13,-1.0,180,-0.5177,-0.2367
exp969,969,5,0,0,5,42,0,5,0,0,13,-1.5,30,-0.3897,-0.2367
