Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp680,680,0,0,35,25,5,0,0,0,0,5,-1.0,180,-0.3557,-0.1607
exp681,681,0,0,35,25,0,0,5,0,0,5,-1.5,180,-0.1607,-0.1607
exp682,682,0,0,45,15,0,0,5,0,0,5,-1.5,83,-0.1797,-0.1607
exp683,683,5,0,40,15,5,0,0,0,0,5,-1.0,118,-0.5947,-0.1607
exp684,684,0,2,43,15,0,0,5,0,0,5,-1.5,135,-0.1727,-0.1607
exp687,687,5,0,40,15,0,0,5,0,0,5,-1.3,158,-0.4277,-0.1607
exp688,688,0,0,45,15,0,0,5,0,0,5,-1.5,110,-0.1697,-0.1607
exp689,689,0,0,35,25,0,0,5,0,0,5,-1.5,121,-0.1617,-0.1607
exp690,690,0,1,35,25,0,0,0,4,0,5,-1.5,157,-0.4687,-0.1607
exp691,691,5,0,35,20,5,0,0,0,0,5,-1.5,117,-0.1877,-0.1607
exp692,692,0,0,35,24,0,0,5,0,0,6,-1.5,114,-0.1657,-0.1607
exp693,693,0,0,45,15,0,0,5,0,0,5,-1.5,131,-0.1657,-0.1607
exp694,694,0,4,41,15,0,5,0,0,0,5,-1.5,104,-0.1697,-0.1607
exp695,695,0,0,35,25,0,0,5,0,0,5,-1.5,138,-0.1667,-0.1607
exp696,696,5,0,35,15,5,5,0,0,0,5,-1.5,30,-0.3697,-0.1607
exp697,697,5,0,45,15,0,0,0,0,0,5,-1.5,96,-0.2267,-0.1607
exp698,698,0,0,40,15,5,0,5,0,0,5,-1.4,180,-0.1667,-0.1607
exp699,699,0,0,38,15,0,5,2,0,5,5,-1.5,30,-0.6817,-0.1607
exp700,700,4,1,35,25,0,0,0,0,0,5,-1.5,112,-0.1597,-0.1597
exp701,701,0,5,40,15,0,0,5,0,0,5,-1.5,90,-0.1737,-0.1597
exp702,702,0,0,35,25,5,0,0,0,0,5,-1.5,128,-0.1847,-0.1597
exp703,703,5,0,35,25,0,0,0,0,0,5,-1.5,30,-0.3887,-0.1597
exp704,704,3,0,42,15,0,0,5,0,0,5,-1.5,143,-0.1667,-0.1597
exp706,706,0,5,45,15,0,0,0,0,0,5,-1.0,163,-0.3667,-0.1597
exp707,707,0,0,36,15,0,5,5,0,4,5,-1.5,162,-0.4107,-0.1597
exp708,708,5,0,40,15,0,0,5,0,0,5,-1.5,129,-0.2047,-0.1597
exp709,709,0,5,38,15,5,0,0,0,0,7,-1.5,120,-0.1797,-0.1597
exp710,710,5,1,37,15,5,0,2,0,0,5,-1.5,180,-0.1587,-0.1587
exp711,711,5,5,35,19,0,0,2,0,0,5,-1.4,156,-0.2427,-0.1587
exp712,712,0,5,35,25,0,0,0,0,0,5,-1.2,180,-0.3357,-0.1587
exp713,713,0,5,40,15,5,0,0,0,0,5,-1.5,121,-0.1767,-0.1587
exp715,715,2,5,38,15,0,0,5,0,0,5,-1.5,131,-0.1597,-0.1587
exp716,716,5,0,42,15,0,0,3,0,0,5,-1.5,112,-0.2137,-0.1587
exp717,717,0,5,35,25,0,0,0,0,0,5,-1.0,30,-0.4807,-0.1587
exp718,718,0,0,35,15,5,5,5,0,0,5,-1.5,158,-0.1697,-0.1587
exp720,720,5,0,35,20,0,0,5,0,0,5,-1.5,80,-0.3257,-0.1587
exp721,721,5,0,45,15,0,0,0,0,0,5,-1.5,132,-0.3917,-0.1587
exp722,722,0,0,35,25,0,0,5,0,0,5,-1.5,180,-0.4337,-0.1587
exp723,723,0,0,45,15,0,0,5,0,0,5,-1.5,134,-0.1957,-0.1587
exp724,724,0,0,45,15,0,0,5,0,0,5,-1.5,142,-0.1697,-0.1587
exp725,725,5,5,35,15,2,0,3,0,0,5,-1.5,113,-0.6387,-0.1587
exp726,726,0,4,35,15,0,5,5,0,0,6,-1.5,152,-0.3397,-0.1587
exp727,727,0,0,43,15,2,0,5,0,0,5,-1.5,49,-0.3867,-0.1587
