June 27, 2026   19:19:25
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp26\exp26deposition-2026-06-27t19_18_01-deposition\ocp_2026-06-27t19_19_06.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

3.730e+0, 7.723e-3
3.740e+0, 7.723e-3
3.750e+0, 7.723e-3
3.760e+0, 7.723e-3
3.770e+0, 7.723e-3
3.780e+0, 7.723e-3
3.790e+0, 7.723e-3
3.800e+0, 7.723e-3
3.810e+0, 7.723e-3
3.820e+0, 7.723e-3
3.830e+0, 7.723e-3
3.840e+0, 7.723e-3
3.850e+0, 7.723e-3
3.860e+0, 7.723e-3
3.870e+0, 7.723e-3
3.880e+0, 7.723e-3
3.890e+0, 7.723e-3
3.900e+0, 7.723e-3
3.910e+0, 7.723e-3
3.920e+0, 7.415e-3
3.930e+0, 7.415e-3
3.940e+0, 7.723e-3
3.950e+0, 7.415e-3
3.960e+0, 7.415e-3
3.970e+0, 7.415e-3
3.980e+0, 7.415e-3
3.990e+0, 7.415e-3
4.000e+0, 7.415e-3
4.010e+0, 7.415e-3
4.020e+0, 7.415e-3
4.030e+0, 7.415e-3
4.040e+0, 7.415e-3
4.050e+0, 7.415e-3
4.060e+0, 7.415e-3
4.070e+0, 7.415e-3
4.080e+0, 7.415e-3
4.090e+0, 7.415e-3
4.100e+0, 7.415e-3
4.110e+0, 7.415e-3
4.120e+0, 7.415e-3
4.130e+0, 7.415e-3
4.140e+0, 7.415e-3
4.150e+0, 7.415e-3
4.160e+0, 7.415e-3
4.170e+0, 7.415e-3
4.180e+0, 7.415e-3
4.190e+0, 7.415e-3
4.200e+0, 7.415e-3
4.210e+0, 7.415e-3
4.220e+0, 7.415e-3
4.230e+0, 7.415e-3
4.240e+0, 7.415e-3
4.250e+0, 7.415e-3
4.260e+0, 7.415e-3
4.270e+0, 7.415e-3
4.280e+0, 7.415e-3
4.290e+0, 7.415e-3
4.300e+0, 7.415e-3
4.310e+0, 7.415e-3
4.320e+0, 7.415e-3
4.330e+0, 7.415e-3
4.340e+0, 7.415e-3
4.350e+0, 7.415e-3
4.360e+0, 7.415e-3
4.370e+0, 7.415e-3
4.380e+0, 7.415e-3
4.390e+0, 7.415e-3
4.400e+0, 7.415e-3
4.410e+0, 7.415e-3
4.420e+0, 7.415e-3
4.430e+0, 7.415e-3
4.440e+0, 7.107e-3
4.450e+0, 7.107e-3
4.460e+0, 7.415e-3
4.470e+0, 7.107e-3
4.480e+0, 7.107e-3
4.490e+0, 7.107e-3
4.500e+0, 7.107e-3
4.510e+0, 7.107e-3
4.520e+0, 7.107e-3
4.530e+0, 7.107e-3
4.540e+0, 7.107e-3
4.550e+0, 7.107e-3
4.560e+0, 7.107e-3
4.570e+0, 7.107e-3
4.580e+0, 7.107e-3
4.590e+0, 6.798e-3
4.600e+0, 6.798e-3
4.610e+0, 6.798e-3
4.620e+0, 6.798e-3
4.630e+0, 6.798e-3
4.640e+0, 6.798e-3
4.650e+0, 6.798e-3
4.660e+0, 6.798e-3
4.670e+0, 6.798e-3
4.680e+0, 6.798e-3
4.690e+0, 6.798e-3
4.700e+0, 6.798e-3
4.710e+0, 6.798e-3
4.720e+0, 6.798e-3
4.730e+0, 6.798e-3
4.740e+0, 6.490e-3
4.750e+0, 6.490e-3
4.760e+0, 6.490e-3
4.770e+0, 6.490e-3
4.780e+0, 6.490e-3
