Experiment,Overpotential @ 50 mA_Ar,Cdl mF cm-2_Ar
exp390,-0.7917,0.08656157724534266
exp391,-0.4777000000000001,9.473085545234
exp392,-0.7987000000000001,0.1092745949035704
exp393,-0.5127,9.089123403743917
exp394,-0.8377,0.10692880101464691
exp395,-0.8706999999999999,0.2047351475028596
exp401,-0.6486999999999999,0.9744601423022677
exp402,-0.6977000000000001,0.44327535728872614
exp403,-0.6206999999999999,1.985593110017233
exp404,-0.7487,0.6014226374810271
exp405,-0.6647,3.105944086896544
exp406,-0.6157,1.6866594761715494
exp407,-0.7616999999999999,0.10634280308885931
exp408,-0.7427,1.50741580767083
exp409,-0.7797,0.10609508257375125
exp410,-0.7927000000000001,0.12172789201240812
exp411,-0.7656999999999999,0.4213518443871538
exp412,-0.6587,7.483584052231607
exp413,-0.8127000000000001,0.12937596778923718
exp414,-0.6137,1.6837074633443236
exp415,-0.6186999999999999,3.0163968855622207
exp416,-0.7507,0.37846403715394206
exp418,-0.4597000000000001,6.774794972863141
exp419,-0.6457,1.6841248687364696
exp420,-0.3846999999999999,11.32372505365393
exp421,-0.7217000000000001,0.3145519109575267
exp422,-0.7857,0.3594012432139306
exp423,-0.8517,0.11267093378137376
exp424,-0.8417,0.10798151803072677
exp425,-0.7827000000000001,0.10306091250148365
exp426,-0.7827000000000001,0.8289960179299526
exp427,-0.4246999999999999,13.239656676071327
exp428,-0.8477,0.1458876389300395
exp429,-0.7467,0.45797310902112254
exp430,-0.4617000000000001,6.992674348186419
exp431,-0.5337,20.49275382928055
exp432,-0.4627,20.186007797029642
exp433,-0.7767000000000001,0.22229092350862587
exp434,-0.6386999999999999,5.124335078794095
exp435,-0.6297,2.6161200347443687
exp436,-0.6857000000000001,0.7232116021597718
exp437,-0.5487000000000001,3.8357926066004673
exp438,-0.7927000000000001,0.10094748573479305
exp439,-0.7847000000000001,0.15057538451656466
exp440,-0.8247000000000001,0.10083454032079664
exp441,-0.4797000000000001,5.261004419106873
exp442,-0.5937,3.8874700345812876
exp443,-0.5487000000000001,3.3672915859271852
exp444,-0.4497000000000001,14.01512102214052
exp445,-0.7357000000000001,0.31476101152702296
exp446,-0.8237,0.13324941477498864
exp447,-0.7127,0.6477617253906207
exp448,-0.7536999999999999,0.15304388256946483
exp449,-0.6337,2.5065410820437743
exp450,-0.4417000000000001,4.529626799493671
exp451,-0.6747,6.208403706856119
exp452,-0.6657000000000001,0.8621978136763128
exp453,-0.7907000000000001,0.10729869489441456
exp454,-0.6417,0.7448504637541632
exp455,-0.7917,0.1264972477680063
exp456,-0.7556999999999999,0.13116856932044146
exp457,-0.7327,0.10915561266461961
exp458,-0.8666999999999999,0.11574666715832968
exp459,-0.3737,5.811461397034996
exp460,-0.8347000000000001,0.11602981830185044
exp461,-0.8247000000000001,0.12789274359001057
exp462,-0.4777000000000001,7.211650316921875
exp463,-0.6637000000000001,0.5369352496114659
exp464,-0.8237,0.10852649068520746
exp465,-0.6557000000000001,0.4714393611228499
exp466,-0.4717000000000001,6.2854222357699365
exp467,-0.6677000000000001,1.8660235556385143
exp468,-0.8347000000000001,0.09791628434082328
exp469,-0.3517,14.702231425444454
exp470,-0.7827000000000001,0.11208526862244639
exp471,-0.6186999999999999,1.5030919001497118
exp472,-0.8067000000000001,0.16822772168957842
exp473,-0.7596999999999999,0.11893837973413758
exp474,-0.4407,14.129291795857865
exp475,-0.4827,5.528683259849409
exp476,-0.8447000000000001,0.16106675782453161
exp477,-0.7297000000000001,0.1242072266905604
exp478,-0.8757,0.1165325200699267
exp479,-0.5427000000000001,4.012983184935002
exp480,-0.7137000000000001,1.6440740256128896
exp481,-0.8007000000000001,0.14250197300683745
exp482,-0.4367,9.996523662340483
exp483,-0.7687,0.13827512761177366
exp484,-0.6917000000000001,0.5697167463407748
exp485,-0.8187000000000001,0.9534146546643913
exp486,-0.4747,7.771231165444115
exp487,-0.7767000000000001,0.14793746834267046
exp488,-0.6077,0.8737760659550993
exp489,-0.5717,1.8779826360821714
exp490,-0.5567000000000001,2.2762870294002533
exp491,-0.7747,0.11184693792014731
exp492,-0.7297000000000001,0.170014703258661
exp493,-0.6057,2.7207949262160938
exp494,-0.7467,0.25299349542690913
exp495,-0.7817,0.1156238734728297
exp496,-0.4627,5.264905115900885
exp497,-0.5827000000000001,1.724971820411282
exp498,-0.5527000000000001,0.6874541388145888
exp499,-0.6126999999999999,0.8195243336225745
exp500,-0.5457,3.9069422312320796
exp501,-0.6807,-38.40296560888752
exp502,-0.5717,0.4603120350721856
exp503,-0.8007000000000001,0.17382166649950775
exp504,-0.8587000000000001,1.2921410383775278
exp505,-0.3626999999999999,56.1981472081772
exp506,-0.7177000000000001,0.6110938643531456
exp507,-0.4357000000000001,2.5042460757931835
exp508,-0.8177,0.11499266446645637
exp509,-0.7857,0.16244532051530677
exp510,-0.8357,0.12618974586667947
exp511,-0.9837,0.08496523853590651
exp512,-0.4357000000000001,0.7429880634690295
exp514,-0.2716999999999999,38.50938110616173
exp515,-0.6867,0.21511071884649893
exp516,-0.4497000000000001,9.729085625445274
exp517,-0.8686999999999999,0.1295344055079856
exp518,-0.3646999999999999,3.4849451989175075
exp519,-0.9227,0.12359653619752238
