Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp58,-0.5887000000000001,-0.6847,-0.7676999999999999
exp59,-0.0287000000000001,-0.0687000000000002,-0.2776999999999999
exp60,-0.3487000000000001,-0.4837000000000001,-0.6226999999999999
exp61,-0.6577000000000001,-0.7227,-0.7957
exp62,-0.6226999999999999,-0.7057000000000001,-0.7847000000000001
exp63,-0.5997,-0.6777000000000001,-0.7757
exp64,-0.2907,-0.4717000000000001,-0.6417
exp65,-0.3897,-0.5827000000000001,-0.7057000000000001
exp66,-0.4767,-0.7307,-0.8447000000000001
exp67,-0.0297,-0.3457,-0.4186999999999999
exp68,-0.6077,-0.6977000000000001,-0.7757
exp69,-0.2436999999999999,-0.3157,-0.4266999999999999
exp70,-0.6226999999999999,-0.7157000000000001,-0.8057
exp71,-0.3056999999999999,-0.3886999999999999,-0.5477
exp72,-0.2976999999999999,-0.3646999999999999,-0.4407
exp73,-0.6687,-0.7536999999999999,-0.8497
exp74,-0.7297000000000001,-0.8557,-1.0046999999999997
exp75,-0.7227,-0.7747,-0.8327000000000001
exp76,-0.6446999999999999,-0.7147,-0.8057
exp77,-0.2576999999999999,-0.3337,-0.4487
exp78,-0.3387000000000001,-0.4417000000000001,-0.6037
exp79,-0.3197,-0.4357000000000001,-0.6386999999999999
exp80,-0.7636999999999999,-0.8217,-0.8817
exp81,-0.4037,-0.5857,-0.6847
exp82,-0.2647,-0.3567000000000001,-0.4737000000000001
exp83,-0.6366999999999999,-0.7487,-0.8726999999999999
exp84,-0.3717,-0.5377,-0.6837000000000001
exp85,-0.4447,-0.5367000000000001,-0.6237
exp86,-0.6146999999999999,-0.6667,-0.7277000000000001
exp87,-0.2627,-0.3317,-0.4257000000000001
exp88,-0.7536999999999999,-0.8237,-0.9337
exp89,-0.6077,-0.6737000000000001,-0.7507
exp90,-0.4186999999999999,-0.5897,-0.7227
exp91,-0.2867,-0.3786999999999999,-0.5517
exp95,-0.6177,-0.6757000000000001,-0.7416999999999999
exp96,-0.6747,-0.7157000000000001,-0.7687
exp97,-0.6017,-0.7987000000000001,-0.9127
exp98,-0.3547000000000001,-0.5227,-0.6657000000000001
exp99,-0.3846999999999999,-0.5437,-0.6727
exp100,-0.5997,-0.7157000000000001,-0.8846999999999999
exp101,-0.4867,-0.6697000000000001,-0.8387000000000001
exp102,-0.5667000000000001,-0.6657000000000001,-0.7297000000000001
exp103,-0.1117000000000001,-0.3237,-0.4637000000000001
exp104,-0.2696999999999999,-0.4427,-0.6497
exp105,-0.2736999999999999,-0.3537,-0.4707
exp106,-0.6117,-0.7027,-0.8097
exp107,-0.2047,-0.3177,-0.4667
exp108,-0.2547,-0.3557,-0.5287000000000001
exp109,-0.2996999999999999,-0.4387,-0.5687000000000001
exp110,-0.7607,-0.8097,-0.8717
exp111,-0.1817000000000002,-0.2727,-0.3577
exp112,-0.2507,-0.3646999999999999,-0.5176999999999999
exp113,-0.6957000000000001,-0.7387,-0.7897
exp114,-0.7157000000000001,-0.7616999999999999,-0.8207000000000001
exp115,-0.3686999999999999,-0.5227,-0.6366999999999999
exp116,-0.2197000000000001,-0.3217,-0.4587
exp117,-0.2427,-0.3397,-0.4857000000000001
exp118,-0.6617000000000001,-0.7227,-0.7817
exp119,-0.2816999999999999,-0.4026999999999999,-0.5807000000000001
exp120,-0.7187,-0.7707,-0.8337
exp121,-0.7207,-0.8037,-0.8926999999999999
exp122,-0.6226999999999999,-0.7907000000000001,-0.9127
exp123,-0.5156999999999999,-0.6197,-0.6947
exp124,-0.1237000000000001,-0.2516999999999999,-0.3507000000000001
exp125,-0.4327,-0.5867000000000001,-0.7127
exp126,-0.4927,-0.6217,-0.7277000000000001
exp127,-0.0017,-0.2427,-0.3477
exp128,-0.1647,-0.2467,-0.3447000000000001
exp129,-0.3167000000000001,-0.4537000000000001,-0.5797
exp130,-0.3757,-0.4747,-0.6657000000000001
exp131,-0.5507000000000001,-0.6417,-0.7616999999999999
exp132,-0.2187,-0.3056999999999999,-0.4467
exp133,-0.4117,-0.5036999999999999,-0.6226999999999999
exp134,-0.3886999999999999,-0.4887,-0.6466999999999999
exp135,-0.6987,-0.7487,-0.8347000000000001
exp136,-0.1047000000000002,-0.2067,-0.3157
exp137,-0.3027000000000001,-0.4186999999999999,-0.5607000000000001
exp138,-0.4717000000000001,-0.6027000000000001,-0.7267
exp139,-0.0057,-0.2647,-0.4146999999999999
exp140,-0.2736999999999999,-0.3906999999999999,-0.5527000000000001
exp141,-0.4066999999999999,-0.5067,-0.6397
exp142,-0.7197000000000001,-0.7807000000000001,-0.8657
exp143,-0.5927000000000001,-0.6777000000000001,-0.7587
exp144,-0.4916999999999999,-0.5907000000000001,-0.6767
exp145,-0.6366999999999999,-0.6747,-0.7197000000000001
exp146,-0.6297,-0.6907,-0.7476999999999999
exp147,-0.5327000000000001,-0.6346999999999999,-0.7427
exp148,-0.6357,-0.6967,-0.7616999999999999
exp149,-0.3137,-0.4936999999999999,-0.6337
exp150,-0.0707000000000002,-0.1747,-0.2787
exp151,-0.3897,-0.5547000000000001,-0.6587
exp152,-0.6357,-0.6827,-0.7317000000000001
exp153,-0.1207,-0.2197000000000001,-0.3327000000000001
exp154,-0.1467,-0.2197000000000001,-0.3297
