Experiment,ECSA voltage_Ar,ECSA target V_Ar,ECSA slope raw_Ar,ECSA intercept_Ar,ECSA R^2_Ar,Cdl mF cm-2_Ar,Ar ECSA file count
exp213,-1600mV,-0.15,-0.0032655658407855143,-0.35592642470748714,0.9966574253556038,3.265565840785514,10.0
exp215,-1900mV,-0.15,-0.00015583371314646885,-0.017268051578512647,0.8832585579575863,0.15583371314646885,10.0
exp216,-1700mV,-0.15,-0.001791661609491989,-0.09937992412501284,0.995664891864864,1.791661609491989,10.0
exp218,-1800mV,-0.15,-0.0008111044548394364,-0.051860018424921384,0.9911010652208849,0.8111044548394364,10.0
exp220,-1800mV,-0.15,-0.0002729047363585758,-0.028014356857400197,0.9499109915211952,0.2729047363585758,10.0
exp221,-1900mV,-0.15,-0.00014061709468176064,-0.03125136189699376,0.8477986793505081,0.14061709468176065,10.0
exp222,-1900mV,-0.15,-0.0001412060016048346,-0.026415872344250482,0.8471035314873434,0.1412060016048346,10.0
exp223,-1600mV,-0.15,-0.002496086776975067,-0.219322123135673,0.9883327876477155,2.496086776975067,10.0
exp224,-1600mV,-0.15,-0.0010223321280038269,-0.13535723197852867,0.4799695764381771,1.022332128003827,10.0
exp226,-1700mV,-0.15,-0.006772500075122566,0.36490909834245855,0.42898951628189663,6.772500075122566,10.0
exp230,-1700mV,-0.15,-0.0004147975940894253,-0.0354155092223577,0.9817453230747112,0.4147975940894253,10.0
exp232,-2000mV,-0.15,-0.0001388649469309512,-0.011022357546689607,0.9168360163557214,0.1388649469309512,10.0
exp233,-1800mV,-0.15,-0.0007225694344533358,-0.04656074726329534,0.9924263882491319,0.7225694344533358,10.0
exp234,-1900mV,-0.15,-0.0001498242655027592,-0.01711639579312861,0.854512136243344,0.14982426550275918,10.0
exp235,-1900mV,-0.15,-0.0002177269717167082,-0.02812865730168347,0.9336624461300498,0.21772697171670818,10.0
exp237,-1700mV,-0.15,-0.0010947590981356442,-0.10893906824505872,0.9859058560072739,1.094759098135644,10.0
exp238,-1700mV,-0.15,-0.0014102621707262723,-0.16701081497099834,0.9831923408535495,1.4102621707262724,10.0
exp239,-1700mV,-0.15,-0.0016049069678750786,-0.09221455381179844,0.9940022848473224,1.6049069678750787,10.0
exp240,-1800mV,-0.15,-0.004405043678268697,-0.3516974190405815,0.9915403539303648,4.405043678268697,10.0
exp241,-1900mV,-0.15,-0.00019312415657107398,-0.03580589516591748,0.35162130855621176,0.19312415657107398,10.0
exp242,-1800mV,-0.15,-0.001063719238064687,-0.018993777821191882,0.9971350129344119,1.063719238064687,10.0
exp243,-1600mV,-0.15,-0.0008154665401241079,-0.08665578282106667,0.9825851997448607,0.8154665401241079,10.0
exp244,-1900mV,-0.15,-0.00018036725400768678,-0.026709768330865177,0.9116147026682169,0.18036725400768677,10.0
exp245,-1600mV,-0.15,-0.0015815571058759828,-0.0768466747223554,0.9982042921968557,1.5815571058759827,10.0
exp246,-2000mV,-0.15,-0.0001708161921436991,-0.014222728842892537,0.92981409579001,0.1708161921436991,10.0
exp247,-1900mV,-0.15,-0.0001792872483002649,-0.013289975185457659,0.9320964082413074,0.1792872483002649,10.0
exp249,-1800mV,-0.15,-0.00019402570610096856,-0.01591009330555905,0.9655264040289993,0.19402570610096856,10.0
exp252,-1700mV,-0.15,-0.001656660027976778,-0.29125136265657037,0.962815963977823,1.6566600279767778,10.0
