Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp13,0,0,5,5,0,0,10,35,10,5,0,-1.5,120,132.9472152683216,0.0001047538543624,0.9979572626640608,-0.7737,1.0460212584801
exp14,20,20,0,5,5,0,0,0,20,0,0,-1.4,60,100.4716263586016,1.1239582494563454e-06,0.998674147640742,-0.8097,0.114056511704
exp15,20,0,0,0,0,10,0,10,0,15,15,-1.2,150,134.76943153218363,0.0005156501122132,0.99885928682443,-0.7027,0.2106062853017
exp16,10,0,20,0,0,0,5,10,15,5,5,-1.3,120,187.71172508876617,0.0027330205023343,0.9942234827179656,-0.8357,1.2588252157248
exp17,5,5,0,10,5,0,5,5,30,0,5,-1.4,150,125.08036699507385,6.609746803647884e-05,0.9996590621935282,-0.7797,0.1301344953869999
exp18,0,0,0,0,0,10,15,10,10,15,10,-1.4,60,184.4302415315144,0.0316781895097033,0.9991860214637002,-0.6047,5.6654682547325
exp19,0,5,5,5,0,5,0,25,5,15,5,-1.1,120,160.8543242805057,0.0072515603762532,0.999597866824844,-0.5967,1.7161974454498
exp20,0,0,10,5,5,10,5,5,15,10,5,-1.2,150,159.24163380691795,0.0011248896190384,0.9995712651332278,-0.7577,0.6275126899219
exp21,5,0,0,5,5,0,15,10,30,0,0,-1.3,60,122.69621716483564,2.733367242699397e-05,0.9991846581496806,-0.7847,0.5062837592152
exp22,0,5,10,15,5,5,0,0,15,5,10,-1.3,150,69.78361689597577,13399.189623190032,0.0242947528411192,-0.4207,79.6806719622046
exp23,5,15,0,0,0,5,5,25,10,0,5,-1.1,150,188.0049474204904,0.0160426874433196,0.9999624209904038,-0.6657,2.3757819705938004
exp24,5,0,0,5,10,25,0,15,0,5,5,-1.5,90,101.64294437742714,0.0194928241081468,0.9937899675775802,-0.3507,22.1539485291822
exp25,35,0,0,0,0,0,0,30,0,0,5,-1.4,150,124.80125899167514,8.111054801532796e-06,0.9987576653942964,-0.8697,0.146725030466
exp26,20,0,0,5,20,5,0,5,5,10,0,-1.3,60,98.95387159636331,8.820502489454467e-06,0.9985539420144208,-0.7187,0.2592601374945
exp27,0,0,5,20,5,0,0,5,10,20,5,-1.4,150,82.38704427230417,0.0139048139133331,0.0087348996312376,-0.5327,24.965506612172
