Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp509,8,0,0,0,0,8,8,0,15,0,31,-1.4,180,-0.4837,-0.5657,-0.6137,-0.6467,-0.6747
exp510,8,0,8,0,0,8,0,0,15,15,16,-1.1,180,-0.5747,-0.6257,-0.6617,-0.6917,-0.7137
exp511,8,0,0,0,0,0,0,0,15,0,47,-1.2,90,-0.8587,-0.8997,-0.9287,-0.9517,-0.9707
exp512,0,0,0,0,0,8,8,0,0,15,39,-1.1,90,-0.3177,-0.3417,-0.3567,-0.3707,-0.3817
exp513,0,0,8,0,8,8,8,7,7,7,17,-1.5,180,,,,,
exp514,0,8,0,0,8,8,8,0,0,7,31,-1.4,150,-0.1517,-0.1987,-0.2197,-0.2327,-0.2427
exp515,0,0,0,0,8,8,0,0,15,15,24,-1.4,60,-0.6107,-0.6437,-0.6607,-0.6727,-0.6827
exp516,8,0,0,8,8,8,0,15,15,0,8,-1.5,180,-0.2657,-0.3107,-0.3397,-0.3637,-0.3827
exp517,0,0,8,0,0,0,0,15,15,15,17,-1.5,90,-0.7747,-0.7967,-0.8117,-0.8237,-0.8357
exp518,0,0,8,0,8,0,0,0,0,15,39,-1.2,150,-0.1937,-0.2117,-0.2247,-0.2357,-0.2457
exp519,8,0,8,0,0,0,0,15,0,0,39,-1.2,180,-0.7647,-0.7897,-0.8087,-0.8247,-0.8387
exp520,8,0,8,8,0,8,0,15,15,0,8,-1.1,90,-0.7277,-0.7697,-0.7907,-0.8037,-0.8137
exp521,0,8,0,0,0,0,0,0,0,15,47,-1.5,180,-0.7957,-0.8297,-0.8527,-0.8707,-0.8857
exp522,0,0,0,8,0,8,8,15,0,0,31,-1.1,180,-0.2987,-0.3447,-0.3777,-0.4037,-0.4267
exp523,8,0,0,0,0,0,8,15,15,15,9,-1.1,60,-0.7157,-0.7417,-0.7577,-0.7707,-0.7817
exp524,8,0,0,0,8,0,8,0,15,15,16,-1.5,150,-0.6187,-0.6507,-0.6657,-0.6757,-0.6847
exp525,0,0,0,8,8,8,0,15,0,0,31,-1.2,90,-0.3397,-0.3747,-0.3987,-0.4187,-0.4367
exp526,8,0,0,8,8,8,8,0,15,0,15,-1.1,60,-0.6047,-0.6487,-0.6737,-0.6917,-0.7067
exp527,0,0,8,0,0,0,8,0,15,0,39,-1.1,150,-0.7627,-0.7837,-0.7977,-0.8077,-0.8177
exp528,0,0,0,8,0,8,0,0,15,0,39,-1.5,150,-0.6227,-0.6807,-0.7197,-0.7507,-0.7767
exp529,8,0,0,8,8,0,0,7,7,0,32,-1.4,180,-0.2837,-0.3357,-0.3707,-0.3987,-0.4237
exp530,8,0,0,8,0,0,0,15,0,0,39,-1.1,150,-0.7197,-0.7637,-0.7897,-0.8097,-0.8277
exp531,0,0,0,8,8,0,8,15,0,0,31,-1.5,60,-0.3477,-0.3907,-0.4207,-0.4447,-0.4647
exp532,8,0,8,0,8,8,8,0,15,15,0,-1.2,90,-0.5137,-0.5887,-0.6287,-0.6537,-0.6687
exp533,8,0,8,0,0,8,8,15,0,15,8,-1.5,150,-0.2847,-0.3437,-0.3847,-0.4177,-0.4457
exp534,0,0,0,0,0,8,0,15,15,15,17,-1.2,150,-0.5957,-0.6447,-0.6647,-0.6777,-0.6887
exp535,0,0,0,0,0,0,8,15,0,0,47,-1.4,150,-0.5767,-0.6047,-0.6277,-0.6467,-0.6627
exp536,8,0,0,8,8,0,8,15,15,0,8,-1.2,150,-0.3357,-0.3907,-0.4257,-0.4537,-0.4767
