Experiment,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Tafel R^2_Ar
exp133,148.45954477741878,0.0023088781796002044,0.9942100862024329
exp134,156.05535501336058,0.005315597659521766,0.9959260460547582
exp135,152.1585358693315,0.00010667488891408294,0.9951088403809654
exp136,105.17634626493864,1.319144263412304e-05,0.9993253395067939
exp137,144.8576548474076,0.006148495726575728,0.9988026995494514
exp138,125.21074281464678,5.8308512028024375e-05,0.9993416988512605
exp139,163.22284422071647,0.015481564297726132,0.9992619268126527
exp140,140.84889661336223,0.009764456493630363,0.9984466183871584
exp141,148.57782659921006,0.0027193078435163915,0.9994547468334144
exp142,121.9253569233484,6.633091070059412e-05,0.9956485442214087
exp143,144.0562241693138,9.216954429595694e-05,0.9987338843390846
exp144,97.71017007952383,9.508800308611609e-06,0.9956954779645053
exp145,121.80171305525596,3.3967288369084994e-05,0.9945674570864381
exp146,112.0667334573678,8.70116531302186e-05,0.9960304249749459
exp147,102.60758294257795,2.1918671545563247e-05,0.996236064757713
exp148,139.89752233597065,0.0001768021903476391,0.9931026221925572
exp149,130.93939872075956,8.342762273956301e-05,0.9988846883387059
exp150,165.56105782775634,0.08768335381461136,0.998567313967168
exp151,115.35537077704144,0.0002229050705942489,0.9971485452310851
exp152,141.39583200816455,0.00036321944037636533,0.9931414933958962
exp153,126.92341408935326,0.10596355846772058,0.9909118509515985
exp154,139.85150462941567,0.010262672010080952,0.9940890781266183
exp155,117.08368525642591,0.0001223951082779628,0.9982451658129797
exp156,129.74145765496402,0.32832512714314654,0.03674651807001006
exp157,16.409613584196805,5.716279539507037e-09,0.0009570734023478731
exp158,169.02890555833693,0.0022632487612132997,0.9987547855425448
exp159,123.97536724561812,0.0006846970516947922,0.9998300767668703
exp160,146.1285967353319,0.004961478481849079,0.9917945554947647
exp161,118.07919467970925,0.016242133111682065,0.9954447005906478
exp162,151.30204016098634,0.03475030143435875,0.9994061445298837
exp163,143.3095090393377,0.0007033879759974121,0.9988047009958498
