June 25, 2026   11:33:02
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp5\exp5-2026-06-25t11_32_13-arkoh\ocp_2026-06-25t11_32_43.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

3.800e+0, -5.642e-1
3.810e+0, -5.642e-1
3.820e+0, -5.642e-1
3.830e+0, -5.642e-1
3.840e+0, -5.639e-1
3.850e+0, -5.639e-1
3.860e+0, -5.636e-1
3.870e+0, -5.633e-1
3.880e+0, -5.633e-1
3.890e+0, -5.630e-1
3.900e+0, -5.630e-1
3.910e+0, -5.630e-1
3.920e+0, -5.630e-1
3.930e+0, -5.627e-1
3.940e+0, -5.623e-1
3.950e+0, -5.620e-1
3.960e+0, -5.620e-1
3.970e+0, -5.620e-1
3.980e+0, -5.620e-1
3.990e+0, -5.617e-1
4.000e+0, -5.617e-1
4.010e+0, -5.614e-1
4.020e+0, -5.611e-1
4.030e+0, -5.608e-1
4.040e+0, -5.608e-1
4.050e+0, -5.608e-1
4.060e+0, -5.608e-1
4.070e+0, -5.608e-1
4.080e+0, -5.605e-1
4.090e+0, -5.602e-1
4.100e+0, -5.599e-1
4.110e+0, -5.599e-1
4.120e+0, -5.599e-1
4.130e+0, -5.596e-1
4.140e+0, -5.596e-1
4.150e+0, -5.596e-1
4.160e+0, -5.593e-1
4.170e+0, -5.590e-1
4.180e+0, -5.590e-1
4.190e+0, -5.586e-1
4.200e+0, -5.586e-1
4.210e+0, -5.586e-1
4.220e+0, -5.586e-1
4.230e+0, -5.583e-1
4.240e+0, -5.580e-1
4.250e+0, -5.577e-1
4.260e+0, -5.577e-1
4.270e+0, -5.577e-1
4.280e+0, -5.577e-1
4.290e+0, -5.574e-1
4.300e+0, -5.574e-1
4.310e+0, -5.571e-1
4.320e+0, -5.568e-1
4.330e+0, -5.568e-1
