Aug. 29, 2024   08:14:46
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\1acid_2ac-2024-08-29t08_13_22-lsvinphos\ocp_2024-08-29t08_14_27.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

2.870e+0, -1.504e-1
2.880e+0, -1.507e-1
2.890e+0, -1.501e-1
2.900e+0, -1.514e-1
2.910e+0, -1.504e-1
2.920e+0, -1.511e-1
2.930e+0, -1.511e-1
2.940e+0, -1.504e-1
2.950e+0, -1.517e-1
2.960e+0, -1.507e-1
2.970e+0, -1.514e-1
2.980e+0, -1.514e-1
2.990e+0, -1.507e-1
3.000e+0, -1.520e-1
3.010e+0, -1.511e-1
3.020e+0, -1.517e-1
3.030e+0, -1.517e-1
3.040e+0, -1.511e-1
3.050e+0, -1.523e-1
3.060e+0, -1.514e-1
3.070e+0, -1.520e-1
3.080e+0, -1.520e-1
3.090e+0, -1.514e-1
3.100e+0, -1.526e-1
3.110e+0, -1.514e-1
3.120e+0, -1.520e-1
3.130e+0, -1.523e-1
3.140e+0, -1.517e-1
3.150e+0, -1.529e-1
3.160e+0, -1.517e-1
3.170e+0, -1.523e-1
3.180e+0, -1.526e-1
3.190e+0, -1.520e-1
3.200e+0, -1.532e-1
3.210e+0, -1.520e-1
3.220e+0, -1.529e-1
3.230e+0, -1.529e-1
3.240e+0, -1.523e-1
3.250e+0, -1.535e-1
3.260e+0, -1.526e-1
3.270e+0, -1.532e-1
3.280e+0, -1.532e-1
3.290e+0, -1.526e-1
3.300e+0, -1.538e-1
3.310e+0, -1.526e-1
3.320e+0, -1.532e-1
3.330e+0, -1.535e-1
3.340e+0, -1.529e-1
3.350e+0, -1.541e-1
3.360e+0, -1.529e-1
3.370e+0, -1.535e-1
3.380e+0, -1.535e-1
3.390e+0, -1.532e-1
3.400e+0, -1.544e-1
3.410e+0, -1.532e-1
3.420e+0, -1.541e-1
3.430e+0, -1.541e-1
3.440e+0, -1.535e-1
3.450e+0, -1.548e-1
3.460e+0, -1.535e-1
3.470e+0, -1.544e-1
3.480e+0, -1.544e-1
3.490e+0, -1.538e-1
3.500e+0, -1.551e-1
3.510e+0, -1.538e-1
3.520e+0, -1.544e-1
3.530e+0, -1.548e-1
3.540e+0, -1.541e-1
3.550e+0, -1.554e-1
3.560e+0, -1.541e-1
3.570e+0, -1.548e-1
3.580e+0, -1.548e-1
3.590e+0, -1.541e-1
3.600e+0, -1.557e-1
3.610e+0, -1.544e-1
3.620e+0, -1.551e-1
3.630e+0, -1.551e-1
3.640e+0, -1.544e-1
3.650e+0, -1.557e-1
3.660e+0, -1.544e-1
3.670e+0, -1.554e-1
3.680e+0, -1.554e-1
3.690e+0, -1.548e-1
3.700e+0, -1.560e-1
3.710e+0, -1.548e-1
3.720e+0, -1.554e-1
3.730e+0, -1.557e-1
3.740e+0, -1.551e-1
3.750e+0, -1.563e-1
3.760e+0, -1.551e-1
3.770e+0, -1.557e-1
3.780e+0, -1.557e-1
3.790e+0, -1.551e-1
3.800e+0, -1.563e-1
3.810e+0, -1.551e-1
3.820e+0, -1.557e-1
3.830e+0, -1.557e-1
3.840e+0, -1.551e-1
3.850e+0, -1.563e-1
3.860e+0, -1.551e-1
3.870e+0, -1.557e-1
3.880e+0, -1.557e-1
3.890e+0, -1.551e-1
3.900e+0, -1.563e-1
3.910e+0, -1.551e-1
3.920e+0, -1.560e-1
3.930e+0, -1.560e-1
3.940e+0, -1.554e-1
3.950e+0, -1.566e-1
3.960e+0, -1.554e-1
3.970e+0, -1.560e-1
3.980e+0, -1.560e-1
3.990e+0, -1.554e-1
4.000e+0, -1.566e-1
4.010e+0, -1.554e-1
4.020e+0, -1.560e-1
4.030e+0, -1.560e-1
4.040e+0, -1.554e-1
4.050e+0, -1.566e-1
4.060e+0, -1.554e-1
4.070e+0, -1.563e-1
4.080e+0, -1.560e-1
4.090e+0, -1.554e-1
4.100e+0, -1.566e-1
4.110e+0, -1.554e-1
4.120e+0, -1.563e-1
4.130e+0, -1.563e-1
4.140e+0, -1.557e-1
4.150e+0, -1.569e-1
4.160e+0, -1.557e-1
4.170e+0, -1.566e-1
4.180e+0, -1.566e-1
4.190e+0, -1.560e-1
4.200e+0, -1.572e-1
4.210e+0, -1.560e-1
4.220e+0, -1.569e-1
4.230e+0, -1.569e-1
4.240e+0, -1.563e-1
4.250e+0, -1.575e-1
4.260e+0, -1.566e-1
4.270e+0, -1.572e-1
4.280e+0, -1.572e-1
4.290e+0, -1.566e-1
4.300e+0, -1.578e-1
4.310e+0, -1.569e-1
4.320e+0, -1.575e-1
4.330e+0, -1.575e-1
4.340e+0, -1.569e-1
4.350e+0, -1.581e-1
4.360e+0, -1.569e-1
4.370e+0, -1.578e-1
4.380e+0, -1.575e-1
4.390e+0, -1.572e-1
4.400e+0, -1.585e-1
4.410e+0, -1.572e-1
4.420e+0, -1.581e-1
4.430e+0, -1.578e-1
4.440e+0, -1.575e-1
4.450e+0, -1.585e-1
4.460e+0, -1.575e-1
4.470e+0, -1.581e-1
4.480e+0, -1.581e-1
4.490e+0, -1.575e-1
4.500e+0, -1.588e-1
4.510e+0, -1.575e-1
4.520e+0, -1.585e-1
4.530e+0, -1.581e-1
4.540e+0, -1.578e-1
4.550e+0, -1.591e-1
4.560e+0, -1.578e-1
4.570e+0, -1.585e-1
4.580e+0, -1.585e-1
4.590e+0, -1.581e-1
4.600e+0, -1.591e-1
4.610e+0, -1.578e-1
4.620e+0, -1.588e-1
4.630e+0, -1.588e-1
4.640e+0, -1.581e-1
4.650e+0, -1.594e-1
4.660e+0, -1.581e-1
4.670e+0, -1.591e-1
4.680e+0, -1.588e-1
4.690e+0, -1.581e-1
4.700e+0, -1.594e-1
4.710e+0, -1.581e-1
4.720e+0, -1.591e-1
4.730e+0, -1.591e-1
4.740e+0, -1.585e-1
4.750e+0, -1.597e-1
4.760e+0, -1.585e-1
4.770e+0, -1.594e-1
4.780e+0, -1.591e-1
4.790e+0, -1.588e-1
4.800e+0, -1.597e-1
4.810e+0, -1.585e-1
4.820e+0, -1.594e-1
4.830e+0, -1.591e-1
4.840e+0, -1.588e-1
4.850e+0, -1.600e-1
4.860e+0, -1.585e-1
4.870e+0, -1.594e-1
4.880e+0, -1.594e-1
4.890e+0, -1.588e-1
4.900e+0, -1.600e-1
4.910e+0, -1.588e-1
4.920e+0, -1.597e-1
4.930e+0, -1.594e-1
4.940e+0, -1.591e-1
4.950e+0, -1.600e-1
4.960e+0, -1.588e-1
4.970e+0, -1.597e-1
4.980e+0, -1.597e-1
4.990e+0, -1.591e-1
5.000e+0, -1.603e-1
