Jan. 12, 2025   16:59:22
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp825\exp825deposition-2025-01-12t16_55_06-deposition\exp825deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 86
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.2

Results:

Channel 1:

Time/sec, Current/A

3.280e+1, 4.478e-4
3.290e+1, 4.457e-4
3.300e+1, 4.441e-4
3.310e+1, 4.423e-4
3.320e+1, 4.402e-4
3.330e+1, 4.386e-4
3.340e+1, 4.374e-4
3.350e+1, 4.368e-4
3.360e+1, 4.374e-4
3.370e+1, 4.384e-4
3.380e+1, 4.387e-4
3.390e+1, 4.392e-4
3.400e+1, 4.403e-4
3.410e+1, 4.420e-4
3.420e+1, 4.431e-4
3.430e+1, 4.433e-4
3.440e+1, 4.453e-4
3.450e+1, 4.472e-4
3.460e+1, 4.488e-4
3.470e+1, 4.510e-4
3.480e+1, 4.531e-4
3.490e+1, 4.531e-4
3.500e+1, 4.532e-4
3.510e+1, 4.546e-4
3.520e+1, 4.598e-4
3.530e+1, 4.635e-4
3.540e+1, 4.618e-4
3.550e+1, 4.569e-4
3.560e+1, 4.554e-4
3.570e+1, 4.545e-4
3.580e+1, 4.511e-4
3.590e+1, 4.508e-4
3.600e+1, 4.521e-4
3.610e+1, 4.527e-4
3.620e+1, 4.531e-4
3.630e+1, 4.528e-4
3.640e+1, 4.514e-4
3.650e+1, 4.501e-4
3.660e+1, 4.487e-4
3.670e+1, 4.477e-4
3.680e+1, 4.473e-4
3.690e+1, 4.475e-4
3.700e+1, 4.476e-4
3.710e+1, 4.481e-4
3.720e+1, 4.494e-4
3.730e+1, 4.505e-4
3.740e+1, 4.495e-4
3.750e+1, 4.472e-4
3.760e+1, 4.456e-4
3.770e+1, 4.442e-4
3.780e+1, 4.444e-4
3.790e+1, 4.468e-4
3.800e+1, 4.491e-4
3.810e+1, 4.497e-4
3.820e+1, 4.496e-4
3.830e+1, 4.498e-4
3.840e+1, 4.489e-4
3.850e+1, 4.483e-4
3.860e+1, 4.492e-4
3.870e+1, 4.506e-4
3.880e+1, 4.527e-4
3.890e+1, 4.541e-4
3.900e+1, 4.560e-4
3.910e+1, 4.572e-4
3.920e+1, 4.572e-4
3.930e+1, 4.572e-4
3.940e+1, 4.554e-4
3.950e+1, 4.536e-4
3.960e+1, 4.521e-4
3.970e+1, 4.515e-4
3.980e+1, 4.515e-4
3.990e+1, 4.509e-4
4.000e+1, 4.503e-4
4.010e+1, 4.507e-4
4.020e+1, 4.527e-4
4.030e+1, 4.558e-4
4.040e+1, 4.581e-4
4.050e+1, 4.589e-4
4.060e+1, 4.600e-4
4.070e+1, 4.606e-4
4.080e+1, 4.605e-4
4.090e+1, 4.608e-4
4.100e+1, 4.620e-4
4.110e+1, 4.631e-4
4.120e+1, 4.652e-4
4.130e+1, 4.673e-4
4.140e+1, 4.685e-4
4.150e+1, 4.683e-4
4.160e+1, 4.670e-4
4.170e+1, 4.659e-4
4.180e+1, 4.653e-4
4.190e+1, 4.650e-4
4.200e+1, 4.644e-4
4.210e+1, 4.632e-4
4.220e+1, 4.625e-4
4.230e+1, 4.600e-4
4.240e+1, 4.568e-4
4.250e+1, 4.544e-4
4.260e+1, 4.548e-4
4.270e+1, 4.571e-4
4.280e+1, 4.599e-4
4.290e+1, 4.606e-4
4.300e+1, 4.610e-4
4.310e+1, 4.603e-4
4.320e+1, 4.589e-4
4.330e+1, 4.585e-4
4.340e+1, 4.591e-4
4.350e+1, 4.602e-4
4.360e+1, 4.603e-4
4.370e+1, 4.602e-4
4.380e+1, 4.600e-4
4.390e+1, 4.595e-4
4.400e+1, 4.598e-4
4.410e+1, 4.604e-4
4.420e+1, 4.599e-4
4.430e+1, 4.604e-4
4.440e+1, 4.615e-4
4.450e+1, 4.625e-4
4.460e+1, 4.640e-4
4.470e+1, 4.667e-4
4.480e+1, 4.714e-4
4.490e+1, 4.711e-4
4.500e+1, 4.715e-4
4.510e+1, 4.722e-4
4.520e+1, 4.729e-4
4.530e+1, 4.708e-4
4.540e+1, 4.680e-4
4.550e+1, 4.657e-4
4.560e+1, 4.641e-4
4.570e+1, 4.639e-4
4.580e+1, 4.649e-4
4.590e+1, 4.649e-4
4.600e+1, 4.649e-4
4.610e+1, 4.658e-4
4.620e+1, 4.665e-4
4.630e+1, 4.665e-4
4.640e+1, 4.662e-4
4.650e+1, 4.662e-4
4.660e+1, 4.665e-4
4.670e+1, 4.670e-4
4.680e+1, 4.680e-4
4.690e+1, 4.686e-4
4.700e+1, 4.684e-4
4.710e+1, 4.682e-4
4.720e+1, 4.695e-4
4.730e+1, 4.695e-4
4.740e+1, 4.687e-4
4.750e+1, 4.690e-4
4.760e+1, 4.703e-4
4.770e+1, 4.710e-4
4.780e+1, 4.715e-4
4.790e+1, 4.710e-4
4.800e+1, 4.718e-4
4.810e+1, 4.723e-4
4.820e+1, 4.719e-4
4.830e+1, 4.718e-4
4.840e+1, 4.708e-4
4.850e+1, 4.698e-4
4.860e+1, 4.708e-4
4.870e+1, 4.726e-4
4.880e+1, 4.734e-4
4.890e+1, 4.731e-4
4.900e+1, 4.723e-4
4.910e+1, 4.718e-4
4.920e+1, 4.719e-4
4.930e+1, 4.715e-4
4.940e+1, 4.712e-4
4.950e+1, 4.710e-4
4.960e+1, 4.709e-4
4.970e+1, 4.712e-4
4.980e+1, 4.716e-4
4.990e+1, 4.740e-4
5.000e+1, 4.753e-4
5.010e+1, 4.743e-4
5.020e+1, 4.726e-4
5.030e+1, 4.720e-4
5.040e+1, 4.706e-4
5.050e+1, 4.704e-4
5.060e+1, 4.706e-4
5.070e+1, 4.698e-4
5.080e+1, 4.691e-4
5.090e+1, 4.693e-4
5.100e+1, 4.698e-4
5.110e+1, 4.693e-4
5.120e+1, 4.681e-4
5.130e+1, 4.682e-4
5.140e+1, 4.669e-4
5.150e+1, 4.655e-4
5.160e+1, 4.639e-4
5.170e+1, 4.621e-4
5.180e+1, 4.603e-4
5.190e+1, 4.619e-4
5.200e+1, 4.647e-4
5.210e+1, 4.688e-4
5.220e+1, 4.712e-4
5.230e+1, 4.729e-4
5.240e+1, 4.733e-4
5.250e+1, 4.733e-4
5.260e+1, 4.736e-4
5.270e+1, 4.752e-4
5.280e+1, 4.764e-4
5.290e+1, 4.786e-4
5.300e+1, 4.803e-4
5.310e+1, 4.813e-4
5.320e+1, 4.816e-4
5.330e+1, 4.821e-4
5.340e+1, 4.812e-4
5.350e+1, 4.794e-4
5.360e+1, 4.786e-4
5.370e+1, 4.784e-4
5.380e+1, 4.798e-4
5.390e+1, 4.818e-4
5.400e+1, 4.830e-4
5.410e+1, 4.843e-4
5.420e+1, 4.861e-4
5.430e+1, 4.870e-4
5.440e+1, 4.886e-4
5.450e+1, 4.899e-4
5.460e+1, 4.900e-4
5.470e+1, 4.887e-4
5.480e+1, 4.876e-4
5.490e+1, 4.857e-4
5.500e+1, 4.844e-4
5.510e+1, 4.846e-4
5.520e+1, 4.849e-4
5.530e+1, 4.842e-4
5.540e+1, 4.835e-4
5.550e+1, 4.824e-4
5.560e+1, 4.822e-4
5.570e+1, 4.817e-4
5.580e+1, 4.818e-4
5.590e+1, 4.824e-4
5.600e+1, 4.831e-4
5.610e+1, 4.838e-4
5.620e+1, 4.843e-4
5.630e+1, 4.849e-4
5.640e+1, 4.852e-4
5.650e+1, 4.861e-4
5.660e+1, 4.879e-4
5.670e+1, 4.877e-4
5.680e+1, 4.864e-4
5.690e+1, 4.843e-4
5.700e+1, 4.821e-4
